Rep,SampID,replicate,Cruise,Compound,min.area.flag,blk.lod.flag,smp.remove,Diss.Conc.nM,Diss.Nmol.C,Diss.Nmol.N,LOD.nM,LOD.nM.blk.sub
220623_Smp_MU1_A,MU1,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.14740791223027946,0.8844474733816767,0.14740791223027946,0.00757121399327363,0.0015123402510143005
220623_Smp_MU1_B,MU1,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.15420822757581884,0.925249365454913,0.15420822757581884,0.00757121399327363,0.0015123402510143005
220623_Smp_MU1_C,MU1,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.13293044142356358,0.7975826485413815,0.13293044142356358,0.00757121399327363,0.0015123402510143005
220623_Smp_MU10_A,MU10,A,KM1906,beta-Alaninebetaine,NA,NA,NA,4.050047949875636,24.300287699253815,4.050047949875636,0.00757121399327363,0.0015123402510143005
220623_Smp_MU10_B,MU10,B,KM1906,beta-Alaninebetaine,NA,NA,NA,1.5749110632079664,9.449466379247799,1.5749110632079664,0.00757121399327363,0.0015123402510143005
220623_Smp_MU10_C,MU10,C,KM1906,beta-Alaninebetaine,NA,NA,NA,1.7253943132054124,10.352365879232474,1.7253943132054124,0.00757121399327363,0.0015123402510143005
220623_Smp_MU11_A,MU11,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.5917529399964416,3.5505176399786498,0.5917529399964416,0.00757121399327363,0.0015123402510143005
220623_Smp_MU11_B,MU11,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.5950620162508117,3.57037209750487,0.5950620162508117,0.00757121399327363,0.0015123402510143005
220623_Smp_MU11_C,MU11,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.6167135782389634,3.7002814694337807,0.6167135782389634,0.00757121399327363,0.0015123402510143005
220623_Smp_MU12_A,MU12,A,KM1906,beta-Alaninebetaine,NA,NA,NA,9.728122650947878,58.36873590568727,9.728122650947878,0.00757121399327363,0.0015123402510143005
220623_Smp_MU12_B,MU12,B,KM1906,beta-Alaninebetaine,NA,NA,NA,3.056922924392458,18.341537546354747,3.056922924392458,0.00757121399327363,0.0015123402510143005
220623_Smp_MU12_C,MU12,C,KM1906,beta-Alaninebetaine,NA,NA,NA,9.631993919727677,57.79196351836606,9.631993919727677,0.00757121399327363,0.0015123402510143005
220623_Smp_MU13_A,MU13,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.1541480303902223,0.9248881823413337,0.1541480303902223,0.00757121399327363,0.0015123402510143005
220623_Smp_MU13_B,MU13,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.168342856249179,1.010057137495074,0.168342856249179,0.00757121399327363,0.0015123402510143005
220623_Smp_MU13_C,MU13,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.5980248767817241,3.5881492606903445,0.5980248767817241,0.00757121399327363,0.0015123402510143005
220623_Smp_MU14_A,MU14,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.920908686689836,5.5254521201390165,0.920908686689836,0.00757121399327363,0.0015123402510143005
220623_Smp_MU14_B,MU14,B,KM1906,beta-Alaninebetaine,NA,NA,NA,1.1277731245558742,6.766638747335245,1.1277731245558742,0.00757121399327363,0.0015123402510143005
220623_Smp_MU14_C,MU14,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.5096412108136283,3.05784726488177,0.5096412108136283,0.00757121399327363,0.0015123402510143005
220623_Smp_MU15_A,MU15,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.11530736649137703,0.6918441989482622,0.11530736649137703,0.00757121399327363,0.0015123402510143005
220623_Smp_MU15_B,MU15,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.7472639984686738,4.4835839908120425,0.7472639984686738,0.00757121399327363,0.0015123402510143005
220623_Smp_MU15_C,MU15,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.3054355878270166,1.8326135269620996,0.3054355878270166,0.00757121399327363,0.0015123402510143005
220623_Smp_MU16_A,MU16,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.4172562622518566,2.5035375735111396,0.4172562622518566,0.00757121399327363,0.0015123402510143005
220623_Smp_MU16_B,MU16,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.3363387544796889,2.0180325268781334,0.3363387544796889,0.00757121399327363,0.0015123402510143005
220623_Smp_MU16_C,MU16,C,KM1906,beta-Alaninebetaine,NA,NA,NA,1.4166162267305862,8.499697360383518,1.4166162267305862,0.00757121399327363,0.0015123402510143005
220623_Smp_MU17_A,MU17,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.46170003870480575,2.7702002322288344,0.46170003870480575,0.00757121399327363,0.0015123402510143005
220623_Smp_MU17_B,MU17,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.7637846025860685,4.582707615516411,0.7637846025860685,0.00757121399327363,0.0015123402510143005
220623_Smp_MU2_A,MU2,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.16043634183895275,0.9626180510337166,0.16043634183895275,0.00757121399327363,0.0015123402510143005
220623_Smp_MU2_B,MU2,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.1877315174398788,1.1263891046392727,0.1877315174398788,0.00757121399327363,0.0015123402510143005
220623_Smp_MU2_C,MU2,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.14617210724142304,0.8770326434485383,0.14617210724142304,0.00757121399327363,0.0015123402510143005
220623_Smp_MU3_A,MU3,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.1313412618780199,0.7880475712681194,0.1313412618780199,0.00757121399327363,0.0015123402510143005
220623_Smp_MU3_B,MU3,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.18162873683432107,1.0897724210059265,0.18162873683432107,0.00757121399327363,0.0015123402510143005
220623_Smp_MU3_C,MU3,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.202887832443128,1.217326994658768,0.202887832443128,0.00757121399327363,0.0015123402510143005
220623_Smp_MU4_A,MU4,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.1350047244108355,0.810028346465013,0.1350047244108355,0.00757121399327363,0.0015123402510143005
220623_Smp_MU4_B,MU4,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.15313183675732106,0.9187910205439264,0.15313183675732106,0.00757121399327363,0.0015123402510143005
220623_Smp_MU4_C,MU4,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.11605458583908493,0.6963275150345096,0.11605458583908493,0.00757121399327363,0.0015123402510143005
220623_Smp_MU5_A,MU5,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.07279547079910285,0.4367728247946171,0.07279547079910285,0.00757121399327363,0.0015123402510143005
220623_Smp_MU5_B,MU5,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.03874732746111508,0.23248396476669048,0.03874732746111508,0.00757121399327363,0.0015123402510143005
220623_Smp_MU5_C,MU5,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.09096089294721871,0.5457653576833122,0.09096089294721871,0.00757121399327363,0.0015123402510143005
220623_Smp_MU6_A,MU6,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.06393826768920716,0.38362960613524294,0.06393826768920716,0.00757121399327363,0.0015123402510143005
220623_Smp_MU6_B,MU6,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.14920906176371226,0.8952543705822735,0.14920906176371226,0.00757121399327363,0.0015123402510143005
220623_Smp_MU6_C,MU6,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.08955680640275927,0.5373408384165557,0.08955680640275927,0.00757121399327363,0.0015123402510143005
220623_Smp_MU7_A,MU7,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.0954300712195354,0.5725804273172124,0.0954300712195354,0.00757121399327363,0.0015123402510143005
220623_Smp_MU7_B,MU7,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.07031435201096144,0.42188611206576865,0.07031435201096144,0.00757121399327363,0.0015123402510143005
220623_Smp_MU7_C,MU7,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.15148931422059222,0.9089358853235534,0.15148931422059222,0.00757121399327363,0.0015123402510143005
220623_Smp_MU8_A,MU8,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.20774631553180156,1.2464778931908094,0.20774631553180156,0.00757121399327363,0.0015123402510143005
220623_Smp_MU8_B,MU8,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.14230070859230406,0.8538042515538244,0.14230070859230406,0.00757121399327363,0.0015123402510143005
220623_Smp_MU8_C,MU8,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.11528733637159695,0.6917240182295817,0.11528733637159695,0.00757121399327363,0.0015123402510143005
220623_Smp_MU9_A,MU9,A,KM1906,beta-Alaninebetaine,NA,NA,NA,0.1689148067164452,1.0134888402986713,0.1689148067164452,0.00757121399327363,0.0015123402510143005
220623_Smp_MU9_B,MU9,B,KM1906,beta-Alaninebetaine,NA,NA,NA,0.26757451594782694,1.6054470956869618,0.26757451594782694,0.00757121399327363,0.0015123402510143005
220623_Smp_MU9_C,MU9,C,KM1906,beta-Alaninebetaine,NA,NA,NA,0.2717937120738286,1.6307622724429716,0.2717937120738286,0.00757121399327363,0.0015123402510143005
220623_Smp_MU1_A,MU1,A,KM1906,Betonicine,NA,NA,NA,0.024399847126137228,0.17079892988296058,0.024399847126137228,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU1_B,MU1,B,KM1906,Betonicine,NA,NA,NA,0.018804617509761788,0.13163232256833252,0.018804617509761788,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU1_C,MU1,C,KM1906,Betonicine,NA,NA,NA,0.026727860750374997,0.18709502525262497,0.026727860750374997,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU10_A,MU10,A,KM1906,Betonicine,NA,NA,NA,0.22333590939247172,1.5633513657473022,0.22333590939247172,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU10_B,MU10,B,KM1906,Betonicine,NA,NA,NA,0.08273265014406044,0.5791285510084231,0.08273265014406044,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU10_C,MU10,C,KM1906,Betonicine,NA,NA,NA,0.07072212560677037,0.49505487924739255,0.07072212560677037,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU11_A,MU11,A,KM1906,Betonicine,NA,NA,NA,0.04381677106502313,0.3067173974551619,0.04381677106502313,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU11_B,MU11,B,KM1906,Betonicine,NA,NA,NA,0.0474839716058263,0.3323878012407841,0.0474839716058263,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU11_C,MU11,C,KM1906,Betonicine,NA,NA,NA,0.0620347327695509,0.4342431293868563,0.0620347327695509,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU12_A,MU12,A,KM1906,Betonicine,NA,NA,NA,0.30185908164538783,2.113013571517715,0.30185908164538783,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU12_B,MU12,B,KM1906,Betonicine,NA,NA,NA,0.11918376614172346,0.8342863629920643,0.11918376614172346,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU12_C,MU12,C,KM1906,Betonicine,NA,NA,NA,0.3291090647803377,2.3037634534623637,0.3291090647803377,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU13_A,MU13,A,KM1906,Betonicine,NA,NA,NA,0.023269370400052967,0.16288559280037077,0.023269370400052967,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU13_B,MU13,B,KM1906,Betonicine,NA,NA,NA,0.02406628448147297,0.1684639913703108,0.02406628448147297,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU13_C,MU13,C,KM1906,Betonicine,NA,NA,NA,0.07137550110423135,0.4996285077296195,0.07137550110423135,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU14_A,MU14,A,KM1906,Betonicine,NA,NA,NA,0.049091192220630346,0.3436383455444124,0.049091192220630346,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU14_B,MU14,B,KM1906,Betonicine,NA,NA,NA,0.07502529971078233,0.5251770979754763,0.07502529971078233,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU14_C,MU14,C,KM1906,Betonicine,NA,NA,NA,0.035704990361141616,0.24993493252799132,0.035704990361141616,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU15_A,MU15,A,KM1906,Betonicine,NA,NA,NA,0.01832779434259755,0.12829456039818285,0.01832779434259755,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU15_B,MU15,B,KM1906,Betonicine,NA,NA,NA,0.09591568026292016,0.6714097618404411,0.09591568026292016,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU15_C,MU15,C,KM1906,Betonicine,NA,NA,NA,0.03479545911786993,0.2435682138250895,0.03479545911786993,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU16_A,MU16,A,KM1906,Betonicine,NA,NA,NA,0.05557516006889411,0.38902612048225876,0.05557516006889411,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU16_B,MU16,B,KM1906,Betonicine,NA,NA,NA,0.02675646803632609,0.18729527625428263,0.02675646803632609,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU16_C,MU16,C,KM1906,Betonicine,NA,NA,NA,0.134129937185465,0.9389095602982551,0.134129937185465,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU17_A,MU17,A,KM1906,Betonicine,NA,NA,NA,0.0302590753008257,0.21181352710577991,0.0302590753008257,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU17_B,MU17,B,KM1906,Betonicine,NA,NA,NA,0.036089402911310936,0.2526258203791766,0.036089402911310936,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU2_A,MU2,A,KM1906,Betonicine,NA,NA,NA,0.02343902977220863,0.1640732084054604,0.02343902977220863,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU2_B,MU2,B,KM1906,Betonicine,NA,NA,NA,0.03564236496476573,0.2494965547533601,0.03564236496476573,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU2_C,MU2,C,KM1906,Betonicine,NA,NA,NA,0.0323224185590606,0.22625692991342422,0.0323224185590606,0.00232131803192975,5.139522279937099e-4
220623_Smp_MU3_A,MU3,A,KM1906,Betonicine,NA,NA,NA,0.0268256811377856,0.1877797679644992,0.0268256811377856,0.00232131803192975,5.139522279937099e-4
