Rep,Compound,Area
240807_Smp_G5_UKG1_0nM_A,Glycine betaine,3017293824
240807_Smp_G5_UKG1_0nM_B,Glycine betaine,2665646080
240807_Smp_G5_UKG1_0nM_C,Glycine betaine,2152460288
240807_Smp_GBT-K1_M0nM_A,Glycine betaine,3861403136
240807_Smp_GBT-K1_M0nM_B,Glycine betaine,4822802944
240807_Smp_GBT-K1_M0nM_C,Glycine betaine,4501204992
240807_Smp_GBT-K2_M0nM_A,Glycine betaine,6981904896
240807_Smp_GBT-K2_M0nM_B,Glycine betaine,3570369280
240807_Smp_GBT-K2_M0nM_C,Glycine betaine,5451336192
240807_Smp_RC078_UKG1_0nM_A,Glycine betaine,31247687680
240807_Smp_RC078_UKG1_0nM_B,Glycine betaine,42726625280
240807_Smp_RC078_UKG1_0nM_C,Glycine betaine,37821005824
240807_Smp_RC078_UKH1_0nM_A,Glycine betaine,15386777600
240807_Smp_RC078_UKH1_0nM_B,Glycine betaine,15567262720
240807_Smp_RC078_UKH1_0nM_C,Glycine betaine,13906317312
240807_Smp_RC078_UKH2_0nM_A,Glycine betaine,47133544448
240807_Smp_RC078_UKH2_0nM_B,Glycine betaine,48981209088
240807_Smp_RC078_UKH2_0nM_C,Glycine betaine,49807994880
240807_Smp_RC104_UCH1_0nM_A,Glycine betaine,8044412416
240807_Smp_RC104_UCH1_0nM_B,Glycine betaine,10036676608
240807_Smp_RC104_UCH1_0nM_C,Glycine betaine,10214147072
240807_Smp_RC104_UKG1_0nM_A,Glycine betaine,5634436096
240807_Smp_RC104_UKG1_0nM_B,Glycine betaine,4641691648
240807_Smp_RC104_UKG1_0nM_C,Glycine betaine,5612440064
240807_Smp_RC104_UKH1_0nM_A,Glycine betaine,7744939520
240807_Smp_RC104_UKH1_0nM_B,Glycine betaine,5117385728
240807_Smp_RC104_UKH1_0nM_C,Glycine betaine,7415174656
240807_Smp_TN397_UCH1_0nM_A,Glycine betaine,4195690240
240807_Smp_TN397_UCH1_0nM_B,Glycine betaine,3171138560
240807_Smp_TN397_UCH1_0nM_C,Glycine betaine,1942266880
240807_Smp_TN397_UKH1_0nM_A,Glycine betaine,2342521088
240807_Smp_TN397_UKH1_0nM_B,Glycine betaine,2743364864
240807_Smp_TN397_UKH1_0nM_C,Glycine betaine,1951058560
240807_Smp_TN397_UKH2_0nM_A,Glycine betaine,1897549184
240807_Smp_TN397_UKH2_0nM_B,Glycine betaine,2696524800
240807_Smp_TN397_UKH2_0nM_C,Glycine betaine,2056461440
240807_Smp_TN397_UKH3_0nM_A,Glycine betaine,5412136960
240807_Smp_TN397_UKH3_0nM_B,Glycine betaine,5507384832
240807_Smp_TN397_UKH3_0nM_C,Glycine betaine,4834569216
240807_Smp_TN397_UKH4_0nM_A,Glycine betaine,7490420736
240807_Smp_TN397_UKH4_0nM_B,Glycine betaine,5388590080
240807_Smp_TN397_UKH4_0nM_C,Glycine betaine,8430097408
240807_Smp_TN397_UKH5_0nM_A,Glycine betaine,7589427712
240807_Smp_TN397_UKH5_0nM_B,Glycine betaine,5137546240
240807_Smp_TN397_UKH5_0nM_C,Glycine betaine,7354941440
240807_Smp_G5_UKG1_0nM_A,Homarine,237946576
240807_Smp_G5_UKG1_0nM_B,Homarine,132301408
240807_Smp_G5_UKG1_0nM_C,Homarine,98172728
240807_Smp_GBT-K1_M0nM_A,Homarine,3237631744
240807_Smp_GBT-K1_M0nM_B,Homarine,3141221376
240807_Smp_GBT-K1_M0nM_C,Homarine,2996972288
240807_Smp_GBT-K2_M0nM_A,Homarine,7652496384
240807_Smp_GBT-K2_M0nM_B,Homarine,4938356224
240807_Smp_GBT-K2_M0nM_C,Homarine,6282014720
240807_Smp_RC078_UKG1_0nM_A,Homarine,7470010368
240807_Smp_RC078_UKG1_0nM_B,Homarine,8775883776
240807_Smp_RC078_UKG1_0nM_C,Homarine,8082191872
240807_Smp_RC078_UKH1_0nM_A,Homarine,5774257664
240807_Smp_RC078_UKH1_0nM_B,Homarine,6610761216
240807_Smp_RC078_UKH1_0nM_C,Homarine,5348746240
240807_Smp_RC078_UKH2_0nM_A,Homarine,15080904704
240807_Smp_RC078_UKH2_0nM_B,Homarine,13424273408
