Region,Cruise,Experiment,Compound,Turnover Time (h),Flux (nmol compound L^-1 day^-1),Carbon Flux (nmol C L^-1 day^-1)
NPTZ,KM1906,UKG1,GBT, 221± 72,0.757±0.24,3.78±1.2
PS,RC078,UKG1,GBT,32.9± 14,40.8± 16, 204± 79
PS,RC104,UKG1,GBT, 145± 66,1.74±0.77, 8.7±3.9
NPSG,TN412,UKG,GBT,21.4± 12,0.529±0.26,2.65±1.3
PS,RC078,UKH1,Homarine, 598±280,0.537±0.24,3.76±1.6
PS,RC078,UKH2,Homarine,1040±390,0.286±0.11,   2±0.75
PS,RC104,UKH1,Homarine, 629±310,0.157±0.056, 1.1±0.39
NPSG,TN397,UKH1,Homarine, 511±310,0.003±0.001,0.02±0.009
NPSG,TN397,UKH2,Homarine, 673±420,0.007±0.003,0.047±0.022
Eq,TN397,UKH3,Homarine,1370±860,0.007±0.004,0.048±0.026
Eq,TN397,UKH4,Homarine,1190±230,0.018±0.003,0.126±0.022
Eq,TN397,UKH5,Homarine, 388±120,0.019±0.005,0.13±0.038
