SampID,Cruise,Compound,Fragment_mz,Experiment,Treatment,Replicate,Peak_Area
230605_Smp_TN397_UCH1_DMSP_A,TN397,D3-Homarine,97.0954,UCH1,DMSP,A,47821484
230605_Smp_TN397_UCH1_DMSP_B,TN397,D3-Homarine,97.0954,UCH1,DMSP,B,60561504
230605_Smp_TN397_UCH1_DMSP_C,TN397,D3-Homarine,97.0954,UCH1,DMSP,C,43561156
230605_Smp_TN397_UCH1_GBT_A,TN397,D3-Homarine,97.0954,UCH1,GBT,A,58919456
230605_Smp_TN397_UCH1_GBT_B,TN397,D3-Homarine,97.0954,UCH1,GBT,B,72601280
230605_Smp_TN397_UCH1_GBT_C,TN397,D3-Homarine,97.0954,UCH1,GBT,C,75851680
230605_Smp_TN397_UCH1_Gluc_A,TN397,D3-Homarine,97.0954,UCH1,Gluc,A,359786176
230605_Smp_TN397_UCH1_Gluc_B,TN397,D3-Homarine,97.0954,UCH1,Gluc,B,381707360
230605_Smp_TN397_UCH1_Gluc_C,TN397,D3-Homarine,97.0954,UCH1,Gluc,C,318537088
230605_Smp_TN397_UCH1_Hom_A,TN397,D3-Homarine,97.0954,UCH1,Hom,A,356331648
230605_Smp_TN397_UCH1_Hom_B,TN397,D3-Homarine,97.0954,UCH1,Hom,B,379556096
230605_Smp_TN397_UCH1_Hom_C,TN397,D3-Homarine,97.0954,UCH1,Hom,C,403650656
230605_Smp_TN397_UCH1_TMAO_A,TN397,D3-Homarine,97.0954,UCH1,TMAO,A,178376496
230605_Smp_TN397_UCH1_TMAO_B,TN397,D3-Homarine,97.0954,UCH1,TMAO,B,239230448
230605_Smp_TN397_UCH1_TMAO_C,TN397,D3-Homarine,97.0954,UCH1,TMAO,C,205264048
230605_Smp_TN397_UCH1_Trig_A,TN397,D3-Homarine,97.0954,UCH1,Trig,A,78252992
230605_Smp_TN397_UCH1_Trig_B,TN397,D3-Homarine,97.0954,UCH1,Trig,B,87626120
230605_Smp_TN397_UCH1_Trig_C,TN397,D3-Homarine,97.0954,UCH1,Trig,C,97128288
230605_Smp_TN397_UKH4_5nM_A,TN397,D3-Homarine,97.0954,UKH4,5nM,A,73624344
230605_Smp_TN397_UKH4_5nM_B,TN397,D3-Homarine,97.0954,UKH4,5nM,B,66613448
230605_Smp_TN397_UKH4_5nM_C,TN397,D3-Homarine,97.0954,UKH4,5nM,C,64891404
230605_Smp_TN397_UKH4_10nM_A,TN397,D3-Homarine,97.0954,UKH4,10nM,A,142600192
230605_Smp_TN397_UKH4_10nM_B,TN397,D3-Homarine,97.0954,UKH4,10nM,B,107834576
230605_Smp_TN397_UKH4_10nM_C,TN397,D3-Homarine,97.0954,UKH4,10nM,C,137314288
230605_Smp_TN397_UKH4_50nM_A,TN397,D3-Homarine,97.0954,UKH4,50nM,A,328705120
230605_Smp_TN397_UKH4_50nM_B,TN397,D3-Homarine,97.0954,UKH4,50nM,B,338690304
230605_Smp_TN397_UKH4_50nM_C,TN397,D3-Homarine,97.0954,UKH4,50nM,C,183231408
